ticket_id,purchase_date,price,customer_id,scan_date,scanned_by,discount_id,source,referrer_id,discount_pct,event_id,event_start,event_end,brand_id,venue_id,city_id,flyer_url
19979,2023-06-17 21:39:41.73097+00,13.5,348,2023-06-17 23:17:20.908681+00,jordi,jdQGCOZGKW17cRpQ_T6cl2b9HZLKXkFk,\N,\N,10,8,2023-06-17 18:00:00+00,2023-06-17 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JUNE17_WEB.jpg
19986,2023-06-17 22:27:07.155895+00,13.5,348,2023-06-17 23:17:29.189364+00,jordi,jdQGCOZGKW17cRpQ_T6cl2b9HZLKXkFk,\N,\N,10,8,2023-06-17 18:00:00+00,2023-06-17 23:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JUNE17_WEB.jpg
19990,2023-06-18 08:43:14.619953+00,10,448,2023-07-01 20:57:58.488067+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
19989,2023-06-18 08:43:14.506688+00,10,448,2023-07-01 20:58:02.011173+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20022,2023-06-21 06:42:48.25921+00,10,12439,2023-07-01 18:48:13.057435+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20026,2023-06-21 08:43:10.590981+00,10,12441,2023-07-01 19:05:17.594301+00,jordi,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
19997,2023-06-18 11:12:09.42676+00,10,9820,2023-07-01 20:30:50.792862+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
19996,2023-06-18 11:12:09.326892+00,10,9820,2023-07-01 20:30:54.088243+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20000,2023-06-18 17:20:14.326937+00,10,12430,2023-07-01 20:59:03.399051+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
20024,2023-06-21 07:58:39.597205+00,10,12440,2023-07-01 21:13:19.084904+00,jonathan,\N,\N,\N,\N,4,2023-07-01 18:00:00+00,2023-07-02 01:00:00+00,rgt-mt,1,Malta,https://blueforest-static.s3.eu-central-1.amazonaws.com/events_3/rgt-mt/flyers/JULY1_WEB.jpg
